step,avg_interval_loss,train_ppl,lr,grad_norm,interval_sec,steps_per_sec,sec_per_step,examples_seen,approx_epochs,batch_input_len,batch_label_len,cuda_mem_alloc_gb,cuda_mem_peak_gb,text_eval_sec,text_samples,text_batches,bleu,chrf,comet,bleu_en_to_ar,bleu_ar_to_en,chrf_en_to_ar,chrf_ar_to_en
920,6.145821417868137,466.7628990227972,0.00029987020234443964,1.3318620920181274,20.26785182952881,1.9735687993200575,0.5066962957382202,117760,0.07904140813986893,22,26,0.847287654876709,2.747465133666992,6.521798372268677,64,4,0.29023328147866806,7.919697613166761,,0.09335780190426281,0.47408962375710717,6.762513153065093,8.821073401686231
960,6.091562016308307,442.1114573804492,0.0002998455347687455,1.4326164722442627,21.831844091415405,1.8321860412940827,0.5457961022853851,122880,0.08247799110247192,16,14,0.8242130279541016,2.747465133666992,5.888070583343506,64,4,0.1975500914971515,7.992344476010156,,0.1027860664876831,0.35970736051807406,5.726825978243671,10.039147140609318
1000,5.982634182274341,396.48340333293817,0.0002998187238913677,1.4671963453292847,21.335847854614258,1.874779023199178,0.5333961963653565,128000,0.08591457406507493,23,21,0.8377809524536133,2.747465133666992,4.797845363616943,64,4,0.22318316861579202,8.882354837676443,,0.11812529572066596,0.3010652018404554,7.511240841120857,9.80916206319893
1040,5.965826739370823,389.8752200622205,0.0002997897701384516,1.3883039951324463,26.953550338745117,1.4840345519343665,0.6738387584686278,133120,0.08935115702767792,28,21,0.8379344940185547,2.747465133666992,6.538593053817749,64,4,0.18653735622985101,7.172842587468983,,0.04974958014933263,0.26962314063641807,5.307824388737127,8.087095013133652
1080,5.914343498647213,370.31111313920314,0.0002997586739702026,1.4747202396392822,21.882444381713867,1.8279493507327784,0.5470611095428467,138240,0.0927877399902809,22,25,0.8453803062438965,2.747465133666992,5.755042791366577,64,4,0.34241496773566965,9.457906057605978,,0.0785519035920405,0.60581133897446,8.460737279137703,10.674344961647108
1120,5.880695827305317,358.0583017906821,0.0002997254358808785,1.5148557424545288,20.661895036697388,1.9359308489834255,0.5165473759174347,143360,0.09622432295288391,25,26,0.8473801612854004,2.747465133666992,7.030421733856201,64,4,0.47236552692481476,9.587862206199807,,0.20462961511608774,0.647721006247779,7.195942329012726,10.86631881195765
1160,5.764726449549198,318.8518100489652,0.000299690056398782,1.4093347787857056,24.776899099349976,1.614407026464801,0.6194224774837495,148480,0.0996609059154869,21,24,0.8434419631958008,2.747465133666992,6.110507249832153,64,4,0.40496533862708056,10.131608115408525,,0.4179985236949931,0.3914392115917468,10.207451668826513,10.077696740055332
1200,5.758002127707004,316.7149404096332,0.0002996525360862521,1.601952075958252,19.5345618724823,2.047652783876699,0.4883640468120575,153600,0.10309748887808991,19,22,0.8395652770996094,2.747465133666992,6.923935651779175,64,4,0.3298677943336155,9.715744198821238,,0.21458775862181512,0.4329233869159849,9.262277119907848,10.056213636425326
1240,5.7589355930686,317.01072086493264,0.00029961287553965514,1.5445729494094849,75.1436128616333,0.5323140381026733,1.8785903215408324,158720,0.1065340718406929,19,20,0.8357501029968262,2.747465133666992,5.390503168106079,64,4,0.49891278098273445,9.6002592607048,,0.13595227841405388,0.6941495666273345,7.949770250895878,10.518259930327806
1280,5.681315076351166,293.334934218162,0.0002995710753893755,1.7912070751190186,20.281456470489502,1.9722449449427821,0.5070364117622376,163840,0.1099706548032959,24,21,0.8378114700317383,2.747465133666992,4.929262399673462,64,4,0.25984388785163015,9.399990772194078,,0.24845112297840902,0.24226407095986557,8.43886012426385,10.090997473984045
1320,5.692301599681377,296.57543363277034,0.0002995271362998056,1.5226932764053345,21.245193004608154,1.8827788474938243,0.5311298251152039,168960,0.1134072377658989,14,15,0.8260593414306641,2.747465133666992,4.493035554885864,64,4,0.6824989785175037,10.745862121869298,,0.2945417468274053,0.9031348864974735,8.734156097075726,12.026080390434647
1360,5.606768348813057,272.2629558690096,0.00029948105896933494,1.4696987867355347,22.27295207977295,1.795900240647748,0.5568238019943238,174080,0.11684382072850188,24,22,0.8397188186645508,2.747465133666992,4.391106367111206,64,4,0.36436497341518054,9.383733014229088,,0.1236492301429268,0.5727285661195948,7.4930487134049315,11.129426225233829
1400,5.556049498915672,258.79843071633206,0.0002994328441303394,1.6702715158462524,21.747458696365356,1.8392953658849889,0.5436864674091338,179200,0.12028040369110489,17,19,0.8337817192077637,2.747465133666992,4.402260065078735,64,4,0.5431437846525314,9.721464639392051,,0.28693671003347104,0.794404209617076,9.735223385807098,9.71033836643384
1440,5.538103269040585,254.19540163609744,0.0002993824925491696,1.643988847732544,22.629210948944092,1.7676268116571892,0.5657302737236023,184320,0.12371698665370788,16,16,0.8280277252197266,2.747465133666992,6.329517364501953,64,4,0.25905055763541424,10.605213627779701,,0.177037597933062,0.36688003001264374,10.637465115783147,10.571921058614755
1480,5.555549293756485,258.66901077705734,0.0002993300050261385,1.696802020072937,21.491795778274536,1.8611753253506576,0.5372948944568634,189440,0.12715356961631089,23,20,0.8358731269836426,2.747465133666992,4.796089172363281,64,4,0.5816681385858465,10.853339365286564,,0.2453947586234542,0.9827102294063569,8.688826782917225,13.309631913461567
1520,5.520891645550728,249.85772242330526,0.0002992753823955087,1.495268702507019,24.41937518119812,1.63804354956626,0.6104843795299529,194560,0.13059015257891388,27,25,0.8455338478088379,2.747465133666992,5.291966438293457,64,4,0.7993405205070877,11.01455206436435,,0.21004785545627463,1.2274856070226037,10.509290813807194,11.308917769372359
1560,5.456613747775554,234.30267156517166,0.0002992186255254793,1.7231041193008423,22.28060030937195,1.795283764557039,0.5570150077342987,199680,0.13402673554151687,19,19,0.8338427543640137,2.747465133666992,5.834415912628174,64,4,0.556099219683594,10.089082169782692,,0.27539246115508237,0.7838568047580593,10.1945765586317,9.998676519126207
